drug,iacb_score
acepromazine,4
allopurinol,0
alprazolam,2
alverine,4
amantadine,1
amitriptyline,4
amoxapine,4
amoxicillin,0
aripiprazole,3
atropine,4
azathioprine,1
benazepril,1
benztropine,4
betahistine,1
bisoprolol,0
brahmi,1
bromocriptine,1
brompheniramine,4
bupropion,1
caffeine,1
captopril,1
carbamazepine,3
carbidopa,0
carbimazole,0
carisoprodol,2
caritine,1
cefadroxil,0
cefoxitin,0
celecoxib,1
cetirizine,4
chloral hydrate,2
chlorpheniramine,4
chlorpromazine,4
chlorpropamide,1
chlorprothixene,4
chlorthalidone,1
choline,1
choral,1
cimetidine,1
citalopram,1
clemastine,4
clomipramine,4
clonazepam,2
clorazepate,2
clozapine,3
cortisone,1
coumadin,1
cyclobenzaprine,2
cycloserine,1
cyclosporine,1
cyproheptadine,4
darifenacin,4
desipramine,4
desloratadine,4
dexamethasone,2
dextran,1
dextromethorphan,1
dicyclomine,4
diltiazem,0
dimenhydrinate,4
diphenhydramine,4
diphenoxylate,0
dipyridamole,1
disopyramide,1
divalproex,3
domperidone,1
dothiepin,4
doxepin,4
doxycycline,0
doxylamine,4
duloxetine,0
dydogesterone,0
entacapone,0
escitalopram,1
estazolam,2
estradiol,0
estriol,0
ezetimibe,0
famotidine,1
felodipine,0
fentanyl,2
fexofenadine,4
flavoxate,4
flunitrazepam,2
fluoxetine,1
flurazepam,2
fluvastatin,0
furosemide,0
gentamicin,0
ginkgo,0
glucagon,1
guaifenesin,1
haloperidol,3
hydrocortisone,2
hydromorphone,2
hydroxyzine,4
hyoscyamine,4
iloperidone,3
imipramine,4
indomethacin,0
inositol,1
ipratropium,1
lactase,1
levocetirizine,4
levodopa,0
lithium carbonate,1
loratadine,4
lorazepam,2
loxapine,3
lysine,1
maprotiline,4
meclizine,4
meperidine,2
metformin,1
methadone,2
methocarbamol,2
methotrimeprazine,4
methylcellulose,1
methylprednisolone,2
methyltestosterone,0
metoclopramide,1
metoprolol,0
midazolam,2
mirtazapine,1
montelukast,1
morphine,2
moxifloxacin,0
naloxone,2
nefazodone,1
nefopam,1
nifedipine,1
nisoldipine,0
nitroglycerin,0
nortriptyline,4
olanzapine,3
olmesartan,1
opipramol,4
orphenadrine,4
oxazepam,2
oxcarbazepine,3
oxybutynin,4
oxycodone,2
paliperidone,3
pancuronium,2
paroxetine,1
perphenazine,4
phenelzine,1
pimozide,3
piperacillin,0
polyvinyl,1
potassium,1
pramipexole,1
pravastatin,0
prazosin,0
prednisolone,2
prednisone,2
probenecid,0
prochlorperazine,4
progesterone,0
promethazine,4
propiverine,4
propoxyphene,2
propranolol,0
protriptyline,4
pseudoephedrine,1
quetiapine,3
quinidine,1
rabeprazole,0
ranitidine,1
reserpine,1
risperidone,3
rosiglitazone,0
salbutamol,0
scopolamine,4
sertraline,1
solifenacin,4
spironolactone,0
sucralfate,1
sulfasalazine,1
sumatriptan,1
tadalafil,1
temazepam,2
testosterone,0
theophylline,1
thioridazine,4
thyroxin,0
tizanidine,2
tolcapone,0
tolterodine,4
topiramate,3
tramadol,2
trazodone,1
triamcinolone,1
triazolam,2
trifluoperazine,4
trihexyphenidyl,4
trimethoprim,0
trimipramine,4
trospium,4
valproic,3
valsartan,1
vancomycin,0
venlafaxine,1
ziprasidone,3
zolmitriptan,1
