"model","outcome","term","estimate","ci_lower","ci_upper","p_value","n_used"
"M1: count alone","CFDAST","n_drugs",-0.353266687702749,-0.440149944347905,-0.266383431057594,1.39292810062298e-07,1449
"M2: ACB alone","CFDAST","acb_burden",-0.673998360169109,-0.887543612349106,-0.460453107989113,4.02906969574292e-06,1449
"M3: ACB + count","CFDAST","acb_burden",-0.288693071114825,-0.600523655367153,0.0231375131375035,0.0674487956256823,1449
"M3: ACB + count","CFDAST","n_drugs",-0.277123238010682,-0.407495729495255,-0.146750746526108,0.000326269692250783,1449
"M4: fully adjusted","CFDAST","acb_burden",-0.137317343233431,-0.507616887808539,0.232982201341677,0.444754313754924,1303
"M4: fully adjusted","CFDAST","n_drugs",-0.153940689505954,-0.304326025774661,-0.00355535323724765,0.0453728577319724,1303
"M5a: ACB category","CFDAST","acb_catACB 1-2",-0.0417216920167184,-1.12067640239011,1.03723301835667,0.935930633695086,1303
"M5a: ACB category","CFDAST","acb_catACB 3+",-0.373572048700393,-1.72043424465497,0.97329014725418,0.566108418947645,1303
"M5b: high-potency","CFDAST","n_highpot",-0.62381011537395,-1.7127069493246,0.465086718576705,0.243330915766394,1303
"M4+: + comorbidities","CFDAST","acb_burden",-0.139034812050455,-0.530766496564345,0.252696872463436,0.464199400077152,1286
"M4+: + comorbidities","CFDAST","n_drugs",-0.103351619092298,-0.338930161606281,0.132226923421685,0.367604955115661,1286
