"variable","level","pct","se"
"sex","sexMale",44.9309545244129,1.32693652647644
"sex","sexFemale",55.0690454755871,1.32693652647644
"race","raceNH White",77.2133585368101,2.88290585531572
"race","raceMexican American",2.93419387385804,0.885368574036207
"race","raceOther Hispanic",4.6209788423353,1.38920934179358
"race","raceNH Black",8.93382571534763,1.96533034859111
"race","raceNH Asian",3.91155714160664,0.850668983443439
"race","raceOther/Multi",2.38608589004229,0.900592162938071
"education","education<9th grade",9.58875179463327,1.30823708113064
"education","education9-11th grade",11.0348291084326,1.64770747318379
"education","educationHS grad/GED",22.1205714889302,2.4355488726845
"education","educationSome college/AA",29.1055197113021,2.2448174434879
"education","educationCollege grad+",28.1503278967019,3.38073546872852
"acb_cat","acb_catACB 0",57.5995948568669,2.1075059959958
"acb_cat","acb_catACB 1-2",27.9976043397853,1.90118514574167
"acb_cat","acb_catACB 3+",14.4028008033478,1.3599445457406
