"drug","n_users","n_components","b_found","b_unresolved","boustani_score","i_found","i_unresolved","iacb_score","boustani_status","iacb_status"
"acetaminophen; hydrocodone",42,2,1,1,0,0,2,0,"c. combination, partly on list","d. combination, no component on list (scores 0)"
"hydrochlorothiazide; triamterene",29,2,1,1,1,0,2,0,"c. combination, partly on list","d. combination, no component on list (scores 0)"
"hydrochlorothiazide; valsartan",23,2,0,2,0,1,1,1,"d. combination, no component on list (scores 0)","c. combination, partly on list"
"ezetimibe; simvastatin",20,2,0,2,0,1,1,0,"d. combination, no component on list (scores 0)","c. combination, partly on list"
"amlodipine; benazepril",17,2,2,0,0,1,1,1,"c. combination, all components on list","c. combination, partly on list"
"hydrochlorothiazide; olmesartan",16,2,0,2,0,1,1,1,"d. combination, no component on list (scores 0)","c. combination, partly on list"
"albuterol; ipratropium",13,2,1,1,0,2,0,1,"c. combination, partly on list","c. combination, all components on list"
"metformin; sitagliptin",12,2,1,1,0,1,1,1,"c. combination, partly on list","c. combination, partly on list"
"acetaminophen; oxycodone",11,2,1,1,0,1,1,2,"c. combination, partly on list","c. combination, partly on list"
"amlodipine; valsartan",10,2,1,1,0,1,1,1,"c. combination, partly on list","c. combination, partly on list"
"glyburide; metformin",10,2,1,1,0,1,1,1,"c. combination, partly on list","c. combination, partly on list"
"acetaminophen; codeine",8,2,1,1,1,0,2,0,"c. combination, partly on list","d. combination, no component on list (scores 0)"
"aspirin; dipyridamole",8,2,2,0,1,1,1,1,"c. combination, all components on list","c. combination, partly on list"
"budesonide; formoterol",8,2,1,1,0,0,2,0,"c. combination, partly on list","d. combination, no component on list (scores 0)"
"amlodipine; olmesartan",7,2,1,1,0,1,1,1,"c. combination, partly on list","c. combination, partly on list"
"sulfamethoxazole; trimethoprim",7,2,0,2,0,1,1,0,"d. combination, no component on list (scores 0)","c. combination, partly on list"
"amoxicillin; clavulanate",6,2,1,1,0,1,1,0,"c. combination, partly on list","c. combination, partly on list"
"atenolol; chlorthalidone",4,2,1,1,1,1,1,1,"c. combination, partly on list","c. combination, partly on list"
"bisoprolol; hydrochlorothiazide",4,2,0,2,0,1,1,0,"d. combination, no component on list (scores 0)","c. combination, partly on list"
"metformin; pioglitazone",4,2,1,1,0,1,1,1,"c. combination, partly on list","c. combination, partly on list"
"acetaminophen; tramadol",3,2,1,1,0,1,1,2,"c. combination, partly on list","c. combination, partly on list"
"amlodipine; atorvastatin",3,2,1,1,0,0,2,0,"c. combination, partly on list","d. combination, no component on list (scores 0)"
"amlodipine; hydrochlorothiazide; olmesartan",3,3,1,2,0,1,2,1,"c. combination, partly on list","c. combination, partly on list"
"formoterol; mometasone",3,2,1,1,0,0,2,0,"c. combination, partly on list","d. combination, no component on list (scores 0)"
"acetaminophen; butalbital; caffeine",2,3,0,3,0,1,2,1,"d. combination, no component on list (scores 0)","c. combination, partly on list"
"aspirin; butalbital; caffeine",2,3,1,2,0,1,2,1,"c. combination, partly on list","c. combination, partly on list"
"benazepril; hydrochlorothiazide",2,2,1,1,0,1,1,1,"c. combination, partly on list","c. combination, partly on list"
"hyoscyamine; methenam; m-blue; phenyl salicylate",2,4,1,3,3,1,3,4,"c. combination, partly on list","c. combination, partly on list"
"metformin; saxagliptin",2,2,2,0,0,1,1,1,"c. combination, all components on list","c. combination, partly on list"
"acetaminophen; propoxyphene",1,2,1,1,0,1,1,2,"c. combination, partly on list","c. combination, partly on list"
"aliskiren; valsartan",1,2,0,2,0,1,1,1,"d. combination, no component on list (scores 0)","c. combination, partly on list"
"amitriptyline; chlordiazepoxide",1,2,2,0,3,1,1,4,"c. combination, all components on list","c. combination, partly on list"
"captopril; hydrochlorothiazide",1,2,1,1,1,1,1,1,"c. combination, partly on list","c. combination, partly on list"
"chlorpheniramine; phenylephrine",1,2,1,1,0,1,1,4,"c. combination, partly on list","c. combination, partly on list"
"chlorpheniramine; pseudoephedrine",1,2,1,1,0,2,0,5,"c. combination, partly on list","c. combination, all components on list"
"codeine; guaifenesin",1,2,2,0,1,1,1,1,"c. combination, all components on list","c. combination, partly on list"
"codeine; promethazine",1,2,2,0,4,1,1,4,"c. combination, all components on list","c. combination, partly on list"
"dexamethasone; neomycin; polymyxin b ophthalmic",1,3,2,1,0,1,2,2,"c. combination, partly on list","c. combination, partly on list"
"estradiol; norethindrone",1,2,0,2,0,1,1,0,"d. combination, no component on list (scores 0)","c. combination, partly on list"
"glipizide; metformin",1,2,1,1,0,1,1,1,"c. combination, partly on list","c. combination, partly on list"
"guaifenesin; hydrocodone",1,2,2,0,0,1,1,1,"c. combination, all components on list","c. combination, partly on list"
"hydrochlorothiazide; spironolactone",1,2,0,2,0,1,1,0,"d. combination, no component on list (scores 0)","c. combination, partly on list"
"hydrocortisone; lidocaine topical w psyllium",1,2,1,1,1,1,1,2,"c. combination, partly on list","c. combination, partly on list"
"hydrocortisone; neomycin; polymyxin b otic",1,3,2,1,1,1,2,2,"c. combination, partly on list","c. combination, partly on list"
