"model","outcome","term","estimate","ci_lower","ci_upper","p_value","n_used"
"M4 DSST, Boustani ACB","CFDDS","(Intercept)",92.7690449809636,83.8719931905438,101.666096771383,6.80995092499475e-13,1468
"M4 DSST, Boustani ACB","CFDDS","acb_burden",-1.36536807066139,-1.92495914489914,-0.80577699642363,0.000107628594182192,1468
"M4 DSST, Boustani ACB","CFDDS","n_drugs",-0.547132357827718,-0.808175997901094,-0.286088717754341,0.000451742207325185,1468
"M4 DSST, Boustani ACB","CFDDS","age",-0.872909079823149,-0.981450477758921,-0.764367681887377,2.91043154161752e-11,1468
"M4 DSST, Boustani ACB","CFDDS","sexFemale",5.5478606329377,3.71571338717095,7.38000787870445,1.08633628350434e-05,1468
"M4 DSST, Boustani ACB","CFDDS","raceMexican American",-6.71501198839762,-9.09507054825886,-4.33495342853638,2.37367182149967e-05,1468
"M4 DSST, Boustani ACB","CFDDS","raceOther Hispanic",-11.7674453961623,-14.0662182650103,-9.46867252731432,1.56852891495767e-08,1468
"M4 DSST, Boustani ACB","CFDDS","raceNH Black",-11.2179004332121,-13.3636026658486,-9.07219820057564,1.18129825074417e-08,1468
"M4 DSST, Boustani ACB","CFDDS","raceNH Asian",-4.7541231697396,-7.29863512295707,-2.20961121652213,0.00120166806128845,1468
"M4 DSST, Boustani ACB","CFDDS","raceOther/Multi",1.69172489701111,-6.56348343450189,9.94693322852412,0.668483020569686,1468
"M4 DSST, Boustani ACB","CFDDS","education9-11th grade",10.1240572149761,5.57909782511492,14.6690166048373,0.000259098332173038,1468
"M4 DSST, Boustani ACB","CFDDS","educationHS grad/GED",13.8709539922553,8.91809519482446,18.8238127896862,2.57140187032751e-05,1468
"M4 DSST, Boustani ACB","CFDDS","educationSome college/AA",17.6677318873688,13.7294439447359,21.6060198300017,8.97831250431041e-08,1468
"M4 DSST, Boustani ACB","CFDDS","educationCollege grad+",19.7471831308168,15.8983240848669,23.5960421767668,1.52140398386134e-08,1468
"M4 DSST, Boustani ACB","CFDDS","income_pir",1.74070591488026,1.11628342814968,2.36512840161084,2.70268776933989e-05,1468
"M4 DSST, IACB","CFDDS","(Intercept)",94.1241751107703,85.1565376597944,103.091812561746,6.18495575613839e-13,1468
