"model","outcome","term","estimate","ci_lower","ci_upper","p_value","n_used"
"M1: count alone","CFDDS","n_drugs",-1.21689106130493,-1.50754958043191,-0.926232542177941,2.18694060895714e-07,1592
"M2: ACB alone","CFDDS","acb_burden",-2.43511363345942,-3.09001015169527,-1.78021711522357,9.66210685222221e-07,1592
"M3: ACB + count","CFDDS","acb_burden",-1.13986331510996,-1.83691622444619,-0.442810405773737,0.00332105004881844,1592
"M3: ACB + count","CFDDS","n_drugs",-0.961876795820742,-1.27400410629862,-0.649749485342862,8.90858851570278e-06,1592
"M4: fully adjusted","CFDDS","acb_burden",-1.36536807066139,-1.92495914489914,-0.80577699642363,0.000107628594182192,1468
"M4: fully adjusted","CFDDS","n_drugs",-0.547132357827718,-0.808175997901094,-0.286088717754341,0.000451742207325185,1468
"M5a: ACB category","CFDDS","acb_catACB 1-2",-2.6700836641863,-5.14121286423764,-0.198954464134958,0.036010937546355,1468
"M5a: ACB category","CFDDS","acb_catACB 3+",-5.61946687557865,-7.90216495125144,-3.33676879990587,9.84780363895262e-05,1468
"M5b: high-potency","CFDDS","n_highpot",-2.54454844211451,-4.47867601514476,-0.610420869084266,0.013347586311054,1468
"M4+: + comorbidities","CFDDS","acb_burden",-1.3595137206761,-1.91025789550125,-0.80876954585096,9.58189132276644e-05,1350
"M4+: + comorbidities","CFDDS","n_drugs",-0.315129243841315,-0.662408170055698,0.0321496823730679,0.0721913160963186,1350
