"model","outcome","term","estimate","ci_lower","ci_upper","p_value","n_used"
"M1: count alone","CFDCSR","n_drugs",-0.11181859174611,-0.148276407461375,-0.0753607760308448,9.40185347715013e-06,1672
"M2: ACB alone","CFDCSR","acb_burden",-0.186041907250192,-0.261796554715139,-0.110287259785245,0.000100876261042258,1672
"M3: ACB + count","CFDCSR","acb_burden",-0.0415898079052319,-0.134236679738086,0.0510570639276222,0.35382528981081,1672
"M3: ACB + count","CFDCSR","n_drugs",-0.102062061702867,-0.150215666428705,-0.0539084569770284,0.000408689297104843,1672
"M4: fully adjusted","CFDCSR","acb_burden",-0.0641367833009523,-0.150790951434809,0.0225173848329047,0.135513420451224,1540
"M4: fully adjusted","CFDCSR","n_drugs",-0.061295261597159,-0.10573976066821,-0.0168507625261077,0.010146161753204,1540
"M5a: ACB category","CFDCSR","acb_catACB 1-2",0.00980453423982893,-0.24015875454295,0.259767823022608,0.934477020191317,1540
"M5a: ACB category","CFDCSR","acb_catACB 3+",-0.425203818611481,-0.823802297441026,-0.0266053397819363,0.0381088757634155,1540
"M5b: high-potency","CFDCSR","n_highpot",-0.196648276243042,-0.49412716051919,0.100830608033107,0.179229513539573,1540
"M4+: + comorbidities","CFDCSR","acb_burden",-0.0711039001077557,-0.183363679005658,0.0411558787901463,0.197026280159479,1406
"M4+: + comorbidities","CFDCSR","n_drugs",-0.0428053435962076,-0.103129776537534,0.017519089345119,0.151201599847467,1406
