"cycle","band","scale","n","estimate","ci_lower","ci_upper","p_value","dAIC"
"2013-2014","0-4 medicines","Boustani ACB",904,-2.83823119830515,-4.6782001309973,-0.998262265613002,0.00498143997581994,-10.7970228897966
"2013-2014","0-4 medicines","IACB",904,-0.996313264130959,-3.16988410964142,1.1772575813795,0.344061028019329,1.25194772188115
"2013-2014","5-9 medicines","Boustani ACB",461,-1.57829200496221,-2.42602673100181,-0.730557278922616,0.00123661317138583,-5.66021394287873
"2013-2014","5-9 medicines","IACB",461,-0.828156920843438,-1.73261439717156,0.0763005554846825,0.0699101828960932,-0.818096368904662
"2013-2014",">=10 medicines","Boustani ACB",103,-0.873331343217175,-2.42234635435312,0.67568366791877,0.246601494513558,-0.571946098967032
"2013-2014",">=10 medicines","IACB",103,-2.55323339382881,-4.42203220326608,-0.684434584391536,0.0109650973490916,-9.08580058714108
"2011-2012","0-4 medicines","Boustani ACB",839,-0.583771523559396,-2.53353750756702,1.36599446044823,0.535991453866826,1.9472920124208
"2011-2012","0-4 medicines","IACB",839,-0.680075859627141,-3.10575012206684,1.74559840281256,0.561956252012437,3.49841245612606
"2011-2012","5-9 medicines","Boustani ACB",361,-0.950265250406653,-2.78937427465053,0.888843773837225,0.290863596714613,1.54971606907839
"2011-2012","5-9 medicines","IACB",361,-1.02371774119345,-2.8552771727278,0.807841690340888,0.254542140143991,0.483819036594923
"2011-2012",">=10 medicines","Boustani ACB",88,-1.69668670088366,-3.71669908502404,0.323325683256711,0.0921766184750495,-3.07715639645085
"2011-2012",">=10 medicines","IACB",88,-1.78910075954595,-3.39643140024636,-0.181770118845532,0.0320113651991564,-6.35870577012065
