"cycle","outcome_lab","what","estimate","ci_lower","ci_upper","p_value","n_used"
"2013-2014","DSST (processing speed)","ACB burden",-1.36536807066139,-1.92495914489914,-0.80577699642363,0.000107628594182192,1468
"2013-2014","DSST (processing speed)","Medication count",-0.547132357827718,-0.808175997901094,-0.286088717754341,0.000451742207325185,1468
"2011-2012","DSST (processing speed)","ACB burden",-0.826567957230873,-2.01017217782715,0.357036263365402,0.158922092252349,1288
"2011-2012","DSST (processing speed)","Medication count",-0.514877435608713,-0.906590980859277,-0.123163890358149,0.0130188532784262,1288
"2013-2014","Animal fluency","ACB burden",-0.306921178639038,-0.540049326802703,-0.0737930304753722,0.0132943578510049,1533
"2013-2014","Animal fluency","Medication count",-0.0907588548242438,-0.252349664768366,0.0708319551198786,0.249826945210575,1533
"2011-2012","Animal fluency","ACB burden",-0.137317343233431,-0.507616887808539,0.232982201341677,0.444754313754924,1303
"2011-2012","Animal fluency","Medication count",-0.153940689505954,-0.304326025774661,-0.00355535323724765,0.0453728577319724,1303
"2013-2014","CERAD delayed recall","ACB burden",-0.0641367833009523,-0.150790951434809,0.0225173848329047,0.135513420451224,1540
"2013-2014","CERAD delayed recall","Medication count",-0.061295261597159,-0.10573976066821,-0.0168507625261077,0.010146161753204,1540
"2011-2012","CERAD delayed recall","ACB burden",0.02838171694345,-0.106075318094391,0.162838751981291,0.661687185959346,1310
"2011-2012","CERAD delayed recall","Medication count",-0.0595166875688639,-0.119725839613896,0.000692464476168282,0.0524034253363266,1310
