"scope","scale","term","cycle","estimate","ci_lower","ci_upper","p_value"
"all participants","Boustani ACB","burden slope","2013-2014",-1.35960258356652,-1.86588386335659,-0.853321303776454,5.05801364366252e-06
"all participants","Boustani ACB","burden slope","2011-2012",-0.834396937010087,-1.79608719476231,0.127293320742132,0.0867117005482687
"all participants","Boustani ACB","cycle x burden interaction","difference",0.525205646556436,-0.437709702203901,1.48812099531677,0.274842271423604
"all participants","IACB","burden slope","2013-2014",-0.591633597260857,-0.905197469744067,-0.278069724777647,0.000542806232903248
"all participants","IACB","burden slope","2011-2012",-0.47849238863159,-0.914005275252753,-0.0429795020104271,0.0323119901463255
"all participants","IACB","cycle x burden interaction","difference",0.113141208629267,-0.357103442550349,0.583385859808883,0.627415324652027
"all participants (per 1 SD)","Boustani ACB","burden slope","2013-2014",-1.92713633831444,-2.64475269436195,-1.20951998226694,5.05801364366218e-06
"all participants (per 1 SD)","Boustani ACB","burden slope","2011-2012",-1.18269608878816,-2.54582106686497,0.180428889288651,0.0867117005482704
"all participants (per 1 SD)","Boustani ACB","cycle x burden interaction","difference",0.744440249526285,-0.620421204656135,2.1093017037087,0.274842271423603
"all participants (per 1 SD)","IACB","burden slope","2013-2014",-1.31832957147762,-2.01703993470838,-0.619619208246859,0.000542806232903269
"all participants (per 1 SD)","IACB","burden slope","2011-2012",-1.06621846457083,-2.03666625497769,-0.0957706741639744,0.032311990146325
"all participants (per 1 SD)","IACB","cycle x burden interaction","difference",0.252111106906789,-0.795729029876262,1.29995124368984,0.62741532465203
">=10 medicines","IACB","burden slope","2013-2014",-0.789090501475236,-1.49203063671126,-0.0861503662392145,0.0292478729908781
">=10 medicines","IACB","burden slope","2011-2012",-0.790659820539903,-1.67877774177885,0.0974581006990449,0.0787440790620765
">=10 medicines","IACB","cycle x burden interaction","difference",-0.00156931906466694,-1.06620304001319,1.06306440188386,0.997605586102044
">=10 medicines","Boustani ACB","burden slope","2013-2014",-0.269229509199396,-1.11456355918682,0.576104540788029,0.51843458739456
">=10 medicines","Boustani ACB","burden slope","2011-2012",-1.19532155688461,-2.92167718248072,0.531034068711495,0.166556149591074
">=10 medicines","Boustani ACB","cycle x burden interaction","difference",-0.926092047685218,-2.84859629294925,0.996412197578817,0.331216219278706
