"drug","n_users","iacb_status","boustani_score","boustani_status"
"lisinopril",301,"d. unscored (not on list)",NA,"d. unscored (not on list)"
"simvastatin",258,"d. unscored (not on list)",NA,"d. unscored (not on list)"
"atorvastatin",255,"d. unscored (not on list)",NA,"d. unscored (not on list)"
"amlodipine",249,"d. unscored (not on list)",0,"a. confirmed score zero"
"omeprazole",213,"d. unscored (not on list)",NA,"d. unscored (not on list)"
"hydrochlorothiazide",147,"d. unscored (not on list)",NA,"d. unscored (not on list)"
"losartan",132,"d. unscored (not on list)",NA,"d. unscored (not on list)"
"rosuvastatin",101,"d. unscored (not on list)",NA,"d. unscored (not on list)"
"atenolol",99,"d. unscored (not on list)",1,"b. exact match"
"carvedilol",97,"d. unscored (not on list)",NA,"d. unscored (not on list)"
"clopidogrel",95,"d. unscored (not on list)",NA,"d. unscored (not on list)"
"gabapentin",85,"d. unscored (not on list)",0,"a. confirmed score zero"
"tamsulosin",76,"d. unscored (not on list)",NA,"d. unscored (not on list)"
"acetaminophen; hydrocodone",67,"d. unscored (not on list)",NA,"c. combination, partially resolved"
"glipizide",65,"d. unscored (not on list)",NA,"d. unscored (not on list)"
"hydrochlorothiazide; lisinopril",62,"d. unscored (not on list)",NA,"d. unscored (not on list)"
"insulin glargine",60,"d. unscored (not on list)",NA,"d. unscored (not on list)"
"lovastatin",57,"d. unscored (not on list)",NA,"d. unscored (not on list)"
"pantoprazole",57,"d. unscored (not on list)",NA,"d. unscored (not on list)"
"alendronate",48,"d. unscored (not on list)",NA,"d. unscored (not on list)"
"esomeprazole",47,"d. unscored (not on list)",NA,"d. unscored (not on list)"
"zolpidem",45,"d. unscored (not on list)",0,"a. confirmed score zero"
"fluticasone nasal",40,"d. unscored (not on list)",NA,"d. unscored (not on list)"
"glimepiride",40,"d. unscored (not on list)",NA,"d. unscored (not on list)"
"finasteride",39,"d. unscored (not on list)",NA,"d. unscored (not on list)"
"meloxicam",39,"d. unscored (not on list)",NA,"d. unscored (not on list)"
"fenofibrate",38,"d. unscored (not on list)",NA,"d. unscored (not on list)"
"hydrochlorothiazide; losartan",38,"d. unscored (not on list)",NA,"d. unscored (not on list)"
"aspirin",36,"d. unscored (not on list)",0,"a. confirmed score zero"
"fluticasone; salmeterol",36,"d. unscored (not on list)",0,"c. combination, fully resolved"
