"drug","n_users","n_components","b_found","b_unresolved","boustani_score","i_found","i_unresolved","iacb_score","boustani_status","iacb_status"
"acetaminophen; hydrocodone",67,2,1,1,0,0,2,0,"c. combination, partly on list","d. combination, no component on list (scores 0)"
"hydrochlorothiazide; triamterene",24,2,1,1,1,0,2,0,"c. combination, partly on list","d. combination, no component on list (scores 0)"
"amlodipine; benazepril",22,2,2,0,0,1,1,1,"c. combination, all components on list","c. combination, partly on list"
"hydrochlorothiazide; valsartan",18,2,0,2,0,1,1,1,"d. combination, no component on list (scores 0)","c. combination, partly on list"
"budesonide; formoterol",17,2,1,1,0,0,2,0,"c. combination, partly on list","d. combination, no component on list (scores 0)"
"albuterol; ipratropium",16,2,1,1,0,2,0,1,"c. combination, partly on list","c. combination, all components on list"
"bisoprolol; hydrochlorothiazide",12,2,0,2,0,1,1,0,"d. combination, no component on list (scores 0)","c. combination, partly on list"
"metformin; sitagliptin",12,2,1,1,0,1,1,1,"c. combination, partly on list","c. combination, partly on list"
"acetaminophen; codeine",11,2,1,1,1,0,2,0,"c. combination, partly on list","d. combination, no component on list (scores 0)"
"ezetimibe; simvastatin",11,2,0,2,0,1,1,0,"d. combination, no component on list (scores 0)","c. combination, partly on list"
"sulfamethoxazole; trimethoprim",10,2,0,2,0,1,1,0,"d. combination, no component on list (scores 0)","c. combination, partly on list"
"acetaminophen; oxycodone",9,2,1,1,0,1,1,2,"c. combination, partly on list","c. combination, partly on list"
"amlodipine; valsartan",9,2,1,1,0,1,1,1,"c. combination, partly on list","c. combination, partly on list"
"atenolol; chlorthalidone",9,2,1,1,1,1,1,1,"c. combination, partly on list","c. combination, partly on list"
"amlodipine; olmesartan",8,2,1,1,0,1,1,1,"c. combination, partly on list","c. combination, partly on list"
"hydrochlorothiazide; olmesartan",7,2,0,2,0,1,1,1,"d. combination, no component on list (scores 0)","c. combination, partly on list"
"glyburide; metformin",6,2,1,1,0,1,1,1,"c. combination, partly on list","c. combination, partly on list"
"amlodipine; hydrochlorothiazide; valsartan",5,3,1,2,0,1,2,1,"c. combination, partly on list","c. combination, partly on list"
"acetaminophen; tramadol",4,2,1,1,0,1,1,2,"c. combination, partly on list","c. combination, partly on list"
"esterified estrogens; methyltestosterone",4,2,0,2,0,1,1,0,"d. combination, no component on list (scores 0)","c. combination, partly on list"
"formoterol; mometasone",4,2,1,1,0,0,2,0,"c. combination, partly on list","d. combination, no component on list (scores 0)"
"amoxicillin; clavulanate",3,2,1,1,0,1,1,0,"c. combination, partly on list","c. combination, partly on list"
"aspirin; dipyridamole",3,2,2,0,1,1,1,1,"c. combination, all components on list","c. combination, partly on list"
"benazepril; hydrochlorothiazide",3,2,1,1,0,1,1,1,"c. combination, partly on list","c. combination, partly on list"
"glipizide; metformin",3,2,1,1,0,1,1,1,"c. combination, partly on list","c. combination, partly on list"
"acetaminophen; butalbital; caffeine",2,3,0,3,0,1,2,1,"d. combination, no component on list (scores 0)","c. combination, partly on list"
"amlodipine; hydrochlorothiazide; olmesartan",2,3,1,2,0,1,2,1,"c. combination, partly on list","c. combination, partly on list"
"linagliptin; metformin",2,2,2,0,0,1,1,1,"c. combination, all components on list","c. combination, partly on list"
"metformin; pioglitazone",2,2,1,1,0,1,1,1,"c. combination, partly on list","c. combination, partly on list"
"metformin; saxagliptin",2,2,2,0,0,1,1,1,"c. combination, all components on list","c. combination, partly on list"
"amlodipine; atorvastatin",1,2,1,1,0,0,2,0,"c. combination, partly on list","d. combination, no component on list (scores 0)"
"captopril; hydrochlorothiazide",1,2,1,1,1,1,1,1,"c. combination, partly on list","c. combination, partly on list"
"chlorpheniramine; hydrocodone",1,2,1,1,0,1,1,4,"c. combination, partly on list","c. combination, partly on list"
"dexamethasone; tobramycin ophthalmic",1,2,1,1,0,1,1,2,"c. combination, partly on list","c. combination, partly on list"
"estradiol; norethindrone",1,2,0,2,0,1,1,0,"d. combination, no component on list (scores 0)","c. combination, partly on list"
"hydralazine; isosorbide dinitrate",1,2,1,1,1,0,2,0,"c. combination, partly on list","d. combination, no component on list (scores 0)"
"hydrochlorothiazide; spironolactone",1,2,0,2,0,1,1,0,"d. combination, no component on list (scores 0)","c. combination, partly on list"
"hydrocodone; ibuprofen",1,2,1,1,0,0,2,0,"c. combination, partly on list","d. combination, no component on list (scores 0)"
"hydrocortisone; neomycin; polymyxin b otic",1,3,2,1,1,1,2,2,"c. combination, partly on list","c. combination, partly on list"
"neomycin; polymyxin b sulfate topical",1,2,1,1,0,0,2,0,"c. combination, partly on list","d. combination, no component on list (scores 0)"
"pseudoephedrine; triprolidine",1,2,2,0,0,1,1,1,"c. combination, all components on list","c. combination, partly on list"
